service_id,date,exception_type
00000000000000000004,2017-01-18,0
00000000000000000005,2017-01-16,1
00000000000000000003,2017-01-12,0
00000000000000000001,2017-01-11,1
00000000000000000002,2017-01-09,0
00000000000000000004,2017-01-17,1
00000000000000000005,2017-01-14,0
00000000000000000003,2017-01-19,1
00000000000000000001,2017-01-10,0
00000000000000000002,2017-01-15,1
00000000000000000004,2017-01-08,0
00000000000000000005,2017-01-20,1
00000000000000000003,2017-01-07,0
00000000000000000001,2017-01-13,1
